transaction_id,transaction_date,transaction_amount_inr,payment_method,merchant_category,chargeback_reason_code,days_since_transaction,customer_id,customer_account_age_days,previous_orders_count,previous_chargebacks_count,is_high_value_customer,is_3ds_verified,avs_match,cvv_match,has_delivery_confirmation,has_signed_receipt,has_login_after_purchase,has_support_interaction,order_confirmation_sent,refund_policy_acknowledged,evidence_completeness_score,merchant_historical_win_rate,reason_code_historical_win_rate,win_outcome,split
37533e34-5383-4789-b1ad-ddec1a7f51d2,2026-07-25,2727.0,netbanking,subscription,CB001,18,CUST095769,1501,87,8,True,True,True,False,False,False,False,False,True,True,0.45,0.45,0.72,1,train
8acdfcf7-189b-433c-b51a-2599f277f0f3,2025-11-17,3806.99,upi,subscription,CB004,43,CUST267943,21,78,5,True,True,True,True,True,True,True,True,True,True,1.0,0.45,0.81,1,train
36911749-77a5-40ea-a881-1f98b0b8e9ce,2025-12-31,9461.34,card_credit,fashion,CB001,130,CUST237336,1886,194,10,True,True,True,False,True,False,True,False,True,True,0.73,0.48,0.72,1,val
7b5e4b3b-f2be-4bbd-a992-3c018021e6f6,2026-03-19,6055.68,upi,travel,CB002,31,CUST824721,741,157,6,True,True,False,True,True,False,True,False,True,True,0.68,0.55,0.58,1,test
e0f167dd-0f12-4b67-9dd3-13d8467c7725,2026-03-21,4213.54,card_credit,other,CB004,45,CUST106023,1865,102,2,True,True,False,True,False,False,False,False,True,True,0.4,0.52,0.81,1,train
f9e33833-4b3b-4903-8dc4-42f66becce81,2025-10-17,2997.0,card_credit,electronics,CB002,46,CUST281018,443,121,2,True,False,True,True,False,False,False,True,True,True,0.37,0.62,0.58,1,val
255bfea7-0680-413c-bc35-626c03841376,2026-07-26,2744.22,wallet,other,CB002,145,CUST739327,1991,145,4,True,True,False,True,True,False,False,False,True,False,0.58,0.52,0.58,1,train
d91d9b61-84e2-4356-900b-ce0b201fe75b,2025-12-15,5554.8,card_credit,fashion,CB001,103,CUST020254,1700,133,2,True,True,True,True,True,False,False,True,True,True,0.82,0.48,0.72,1,train
98ce35e3-0694-45a4-9a82-44f1da31906d,2026-06-14,31209.3,netbanking,travel,CB004,108,CUST429437,1566,74,7,True,True,True,True,True,False,False,True,True,False,0.8,0.55,0.81,1,train
649285bc-fa8d-4318-b4f6-a2b9bc19208a,2026-07-23,9705.53,upi,subscription,CB003,175,CUST131042,699,2,7,False,True,False,False,True,True,False,False,True,True,0.6,0.45,0.45,0,train
c03b0741-6e34-4ffd-89d0-188c8aa6adf4,2026-02-15,2125.01,upi,travel,CB001,151,CUST400339,1863,126,3,True,False,True,True,False,False,False,False,True,True,0.3,0.55,0.72,1,train
3afc370b-1ed8-4eb4-8605-d8b7aec7d5d6,2025-09-04,10868.18,card_debit,subscription,CB004,91,CUST783838,639,154,7,True,True,True,True,False,False,True,True,True,True,0.7,0.45,0.81,1,test
1246b092-0bc8-4eee-afd1-4f94ce0ba740,2025-12-01,3363.42,upi,subscription,CB002,42,CUST470069,783,1,4,False,True,False,True,False,False,True,True,True,True,0.55,0.45,0.58,1,train
dc2682fa-5da2-45ef-8304-f49e44b20ed4,2025-11-22,6148.33,wallet,subscription,CB003,165,CUST287765,584,182,10,True,True,True,True,True,False,False,False,True,False,0.73,0.45,0.45,1,val
098b56dd-42cb-43de-a051-bc776c4aa875,2025-12-08,3853.48,upi,fashion,CB002,128,CUST866645,28,56,5,True,True,True,True,False,False,True,True,True,False,0.68,0.48,0.58,1,train
b2a05905-9d1e-4613-8112-2bc6749cafb0,2025-11-13,31133.05,card_credit,food,CB002,140,CUST939436,465,133,3,True,True,True,False,False,False,True,True,True,False,0.58,0.7,0.58,0,val
29aaec18-1a3a-4a20-8b66-328dc7ead8d8,2026-02-20,2491.24,netbanking,food,CB003,26,CUST641429,117,12,1,False,True,True,True,True,False,True,False,True,False,0.81,0.7,0.45,1,test
a202764e-9ecf-437b-b0d3-555e9c13e240,2026-07-11,7932.4,card_debit,other,CB001,125,CUST745151,666,120,5,True,False,True,False,False,False,True,False,True,True,0.28,0.52,0.72,1,test
c0d85aed-9246-40e7-aa26-08b6606f04c7,2025-10-24,3567.29,card_credit,travel,CB002,22,CUST306857,412,24,10,True,True,True,True,True,False,False,True,True,True,0.82,0.55,0.58,1,val
f4ce3288-7648-40e7-a080-71e00a413dd2,2026-03-15,11146.53,netbanking,other,CB002,83,CUST986454,799,115,7,True,True,True,True,True,False,True,False,True,True,0.83,0.52,0.58,1,train
4d3d2d3d-3aa8-4096-99f8-f938514714f6,2026-02-25,7805.5,card_debit,grocery,CB004,138,CUST899669,1180,53,3,True,False,True,True,False,False,True,True,True,False,0.43,0.78,0.81,1,val
1b003837-9f29-4a0c-b55f-13cab5059ed4,2026-04-13,16839.18,card_credit,grocery,CB001,112,CUST197412,747,146,4,True,True,False,True,False,False,True,False,True,True,0.48,0.78,0.72,0,test
c0a86cb1-e098-452c-a1dc-e0122b2c44c7,2026-06-21,10963.38,upi,subscription,CB002,109,CUST798710,1184,20,1,False,True,False,True,True,False,False,False,True,True,0.6,0.45,0.58,1,val
f37bf6c2-5988-41e2-9842-93655a8b5a07,2025-09-22,3543.94,wallet,gaming,CB001,78,CUST373401,1795,163,3,True,False,True,True,False,False,False,False,True,False,0.28,0.35,0.72,0,val
e960c22e-10e7-46e7-b039-ab67d64832e2,2025-11-14,63626.38,netbanking,subscription,CB004,175,CUST296841,1659,61,5,True,False,True,True,False,False,True,False,True,True,0.38,0.45,0.81,0,test
b8b51b26-f9d3-473a-bd79-23fa7bfc0d63,2026-01-03,9625.42,card_credit,fashion,CB004,11,CUST179556,1237,31,6,True,True,True,False,False,False,False,False,True,True,0.45,0.48,0.81,1,test
97d5f51b-7b38-4911-8e8c-c8ccd1b7bb92,2026-04-02,3973.06,upi,grocery,CB004,85,CUST211718,1590,113,7,True,True,False,False,False,False,True,False,True,False,0.36,0.78,0.81,1,test
d783da33-9f7a-46a3-8061-8149d0b3907b,2025-10-30,7275.4,card_credit,grocery,CB003,81,CUST743978,859,194,3,True,True,False,True,True,False,False,False,True,True,0.6,0.78,0.45,1,test
d5857b1e-0377-4d7c-955b-d7d5a7aebc1a,2026-02-08,10223.95,card_debit,other,CB003,179,CUST649163,956,124,8,True,True,True,True,False,False,True,True,True,True,0.7,0.52,0.45,0,test
f910148c-48da-4d91-9570-d3cfde15fadd,2026-03-18,9917.51,card_credit,fashion,CB003,19,CUST032714,160,171,3,True,True,True,True,True,True,True,False,True,True,0.93,0.48,0.45,1,train
c0a389e1-9f13-49d5-8e46-a7f3af3fcf48,2026-03-15,9178.73,card_credit,food,CB004,110,CUST997005,198,22,10,True,False,True,True,False,False,False,False,False,False,0.25,0.7,0.81,0,train
2d212a2f-e37a-4939-af7c-f5d72b05e8cd,2026-06-05,13373.19,wallet,subscription,CB001,37,CUST790040,815,45,1,True,True,True,True,False,False,True,True,True,False,0.68,0.45,0.72,1,test
e02f84f2-7b2d-4f2b-a017-e251d7aa43a3,2026-07-24,12361.7,card_debit,travel,CB001,174,CUST359592,984,36,8,True,True,True,True,True,False,False,False,True,True,0.75,0.55,0.72,1,test
29616534-4dd7-48f7-98c4-ca6e9d5cf4b5,2026-02-05,3133.07,upi,food,CB002,87,CUST376658,780,64,0,True,True,False,True,True,False,False,False,True,False,0.58,0.7,0.58,1,val
f192a294-5248-4a62-adce-15c2bed228d1,2025-10-06,33331.72,card_debit,healthcare,CB002,78,CUST697717,1284,114,8,True,False,True,True,True,False,False,True,True,False,0.55,0.58,0.58,0,test
8a0c9059-f15c-40b5-9cf8-4575fd60a1f3,2026-08-03,29819.91,card_credit,electronics,CB002,62,CUST308420,1306,140,5,True,True,True,False,True,False,True,True,False,False,0.75,0.62,0.58,1,test
78627d2d-4a94-4cda-925f-1cfc00354283,2025-10-17,11714.63,upi,food,CB004,24,CUST122044,650,180,2,True,True,True,False,True,False,True,False,True,True,0.73,0.7,0.81,1,test
b687ff3c-fa37-4d37-b980-6a9c469e40d1,2025-10-28,6366.33,card_debit,education,CB002,169,CUST233293,1948,126,1,True,False,True,True,False,False,False,False,True,True,0.3,0.65,0.58,0,train
601addf6-ef92-46b1-aafe-8fc5ed12901c,2026-05-17,6454.48,card_credit,fashion,CB003,77,CUST565685,1829,172,10,True,True,False,True,True,False,False,False,True,True,0.6,0.48,0.45,1,val
1e032d73-5ce8-417a-89e6-fab23f63b656,2026-01-08,4763.84,card_credit,travel,CB001,85,CUST246728,1023,166,4,True,False,False,True,True,False,False,False,True,True,0.35,0.55,0.72,0,val
ced4d673-310b-40c0-bedb-c682613f1642,2026-06-27,5283.34,card_debit,other,CB003,172,CUST099074,1920,159,10,True,True,False,True,True,False,False,False,True,True,0.6,0.52,0.45,0,test
1c5a95b2-5e16-4fea-8dd8-af3a2cddf98a,2025-11-23,1073.19,netbanking,healthcare,CB001,28,CUST477680,1850,116,4,True,True,True,True,True,True,False,True,False,True,0.89,0.58,0.72,1,train
376ff814-1ff0-4255-abb2-88d911a09917,2025-12-14,20994.84,card_credit,electronics,CB001,155,CUST011542,732,141,6,True,True,False,True,True,False,True,False,False,True,0.65,0.62,0.72,1,test
